City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
262,Anzio,41.4853,12.6179,59.31,89,90,7.78,IT,overcast clouds
263,Zhigansk,66.7697,123.3711,-13.38,94,21,10.13,RU,few clouds
264,Pakala,13.4667,79.1167,71.58,97,91,1.59,IN,overcast clouds
265,West Bay,19.3667,-81.4167,88.0,68,20,1.01,KY,few clouds
266,Fort Nelson,58.8053,-122.7002,15.39,86,75,3.44,CA,broken clouds
267,Ansermanuevo,4.7972,-75.995,81.37,79,94,0.02,CO,overcast clouds
268,Alice Springs,-23.7,133.8833,71.15,60,65,5.75,AU,broken clouds
269,Saint-Augustin,51.226,-58.6502,41.0,46,11,10.22,CA,few clouds
270,Mitsamiouli,-11.3847,43.2844,80.89,74,20,6.91,KM,few clouds
271,Inhambane,-23.865,35.3833,75.18,83,20,5.01,MZ,few clouds
272,Esperance,-33.8667,121.9,62.44,94,31,13.0,AU,scattered clouds
273,Tsabong,-26.0217,22.401,85.87,10,40,12.17,BW,scattered clouds
274,Maceio,-9.6658,-35.7353,92.64,62,20,16.11,BR,few clouds
275,Joao Pinheiro,-17.7425,-46.1725,87.87,37,42,6.2,BR,scattered clouds
276,Muros,42.7762,-9.0603,57.83,82,6,11.79,ES,clear sky
277,Lorengau,-2.0226,147.2712,80.58,83,100,6.11,PG,light rain
278,Bahia Honda,22.9036,-83.1592,84.06,60,89,5.32,CU,overcast clouds
279,Arcachon,44.5875,-1.0519,50.05,87,90,3.44,FR,overcast clouds
280,Whitehorse,60.7161,-135.0538,25.63,89,44,0.49,CA,scattered clouds
281,Kamaishi,39.2667,141.8833,50.27,78,42,6.73,JP,scattered clouds
282,Nikolskoye,59.7035,30.7861,47.39,93,44,6.2,RU,scattered clouds
283,Sibolga,1.7427,98.7792,76.01,89,100,2.39,ID,overcast clouds
284,Awash,8.9833,40.1667,74.14,22,2,4.29,ET,clear sky
285,Peruibe,-24.32,-46.9983,77.77,71,0,7.31,BR,clear sky
286,Belyy Yar,53.6039,91.3903,2.86,85,66,4.47,RU,smoke
287,Viedma,-40.8135,-62.9967,63.1,25,100,14.25,AR,overcast clouds
288,Vardo,70.3705,31.1107,33.78,80,75,8.05,NO,broken clouds
289,Okhotsk,59.3833,143.3,14.7,82,95,10.51,RU,overcast clouds
290,Si Bun Ruang,16.9667,102.2833,75.38,81,100,2.06,TH,overcast clouds
291,Asau,46.4333,26.4,52.72,63,40,5.55,RO,light rain
292,Kavieng,-2.5744,150.7967,82.35,71,100,15.64,PG,overcast clouds
293,Nishihara,26.1842,127.7558,70.88,62,75,8.05,JP,broken clouds
294,Faro,37.0194,-7.9322,64.18,39,20,12.66,PT,few clouds
295,Sao Jose Do Belmonte,-7.8614,-38.7597,97.81,21,42,7.94,BR,scattered clouds
296,Coihaique,-45.5752,-72.0662,51.67,56,87,13.91,CL,overcast clouds
297,Evensk,61.95,159.2333,9.03,77,83,7.05,RU,broken clouds
298,Hesperange,49.5681,6.1514,44.42,96,75,12.66,LU,mist
299,Richards Bay,-28.783,32.0377,69.98,76,21,12.24,ZA,few clouds
300,Saint-Pierre,-21.3393,55.4781,74.88,76,20,0.0,RE,few clouds
301,Menongue,-14.6585,17.691,76.77,41,96,3.02,AO,overcast clouds
302,Sakaiminato,35.55,133.2333,59.99,63,4,6.71,JP,clear sky
303,Pullman,46.7313,-117.1796,51.42,94,90,10.0,US,mist
304,Lockhart,28.6194,-81.4426,77.88,74,100,1.99,US,overcast clouds
305,Kangaatsiaq,68.3065,-53.4641,33.3,72,100,16.6,GL,overcast clouds
306,Hasaki,35.7333,140.8333,50.4,53,33,14.25,JP,scattered clouds
307,Xuddur,4.1213,43.8894,78.71,58,78,8.84,SO,broken clouds
308,Zamora,-4.0692,-78.9567,79.21,77,83,3.85,EC,light rain
309,Sibu,2.3,111.8167,77.31,94,40,1.99,MY,scattered clouds
310,Sale,34.0389,-6.8166,63.28,59,75,4.61,MA,broken clouds
311,Pangnirtung,66.1451,-65.7125,21.2,68,75,0.0,CA,broken clouds
312,Kavaratti,10.5669,72.642,81.48,80,100,11.16,IN,overcast clouds
313,San Cristobal,7.7669,-72.225,80.87,59,70,1.57,VE,broken clouds
314,Kearney,40.6995,-99.0815,59.92,40,8,10.38,US,clear sky
315,Mount Isa,-20.7333,139.5,73.17,64,2,1.14,AU,light rain
316,Rocha,-34.4833,-54.3333,74.88,76,94,8.97,UY,overcast clouds
317,Santa Maria,-29.6842,-53.8069,84.07,52,0,6.08,BR,clear sky
318,Fairbanks,64.8378,-147.7164,21.97,91,60,3.04,US,broken clouds
319,Togur,58.3631,82.8265,15.8,85,100,11.77,RU,overcast clouds
320,Shimoda,34.6667,138.95,56.1,74,5,7.29,JP,clear sky
321,Yaan,7.3833,8.5667,81.12,73,93,4.34,NG,overcast clouds
322,Notodden,59.5594,9.2585,36.19,86,0,2.91,NO,clear sky
323,Gazalkent,41.5581,69.7708,25.16,55,8,2.53,UZ,clear sky
